id	상호	지점명	주소	시	구	동네라벨	lat	lng	좌표출처	영업시간	브레이크	휴무	오픈일	상태	상태변경일	형태	형태_대표	스프	스프_대표	스프_세부	계보	편의	태깅확신도	대표메뉴1	대표메뉴2	대표메뉴3	좌석	한줄소개	인스타	네이버플레이스	웨이팅링크	검증상태	최종확인일	정보출처	메모
	아키야 라멘		서울특별시 마포구 토정로 39-3, 1층 (합정동)				37.545746	126.915340	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야소바		서울특별시 서대문구 연세로2길 83, 성지빌딩 1층 (대현동)				37.557227	126.941390	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	네코라멘		서울특별시 양천구 목동남로4길 22, 2층 (신정동)				37.508766	126.865530	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야호타루		서울특별시 마포구 마포대로4가길 53, 1층 (마포동)				37.537370	126.944824	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	토모멘야		서울특별시 광진구 아차산로 431, 상가3동 지층 103호 (구의동, 강변에스케이뷰)				37.538653	127.090179	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	오로지라멘 중앙유통단지점		서울특별시 구로구 경인로53길 15 (구로동,중앙유통상가 D21-02)				37.500904	126.874586	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	좌표 불일치(150m+) — 위치 확인 필요
	신센라멘 연남점		서울특별시 마포구 동교로34길 17, 1층 201호 (연남동)				37.560945	126.925291	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야서울 중림점		서울특별시 중구 서소문로6길 34, 성요셉아파트 3층 317호 (중림동)				37.559587	126.967257	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	킨카라멘		서울특별시 서초구 주흥16길 22, 101호 (반포동)				37.509556	127.019833	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	저온숙성구름카츠&마제소바		서울특별시 양천구 신정중앙로21길 23, 1층 (신정동)				37.527063	126.860802	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	레드멘야케이 노원본점		서울특별시 노원구 상계로 63-7, 청우빌딩 1층 107호 (상계동)				37.656511	127.061911	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	수유라멘 서울과기대 공릉점		서울특별시 노원구 공릉로 221, 1층 일부호 (공릉동)				37.628890	127.076911	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	KUNI RAMEN 쿠니라멘		서울특별시 서초구 강남대로 224, 지하1층 B105호 (양재동, 양재한신휴플러스)				37.484158	127.035033	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	겐조라멘		서울특별시 서초구 강남대로 455 (서초동, 강남태영데시앙루브 1층106호)				37.502847	127.024544	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	신센라멘 신월점		서울특별시 양천구 월정로 109 (신월동)				37.528935	126.838751	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야수		서울특별시 마포구 양화로 56, 동양한강트레벨 지1층 B103-2호 (서교동)				37.549547	126.914812	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	신센라멘 홍대점		서울특별시 마포구 와우산로29길 4-26, 2층 202호 (서교동)				37.555028	126.929585	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	칸키라멘		서울특별시 양천구 오목로48길 10, 1층 (신정동)				37.525011	126.862811	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘쨩		서울특별시 송파구 올림픽로35길 112, 1동 지하1층 6-1,6-2호 (신천동, 장미B상가)				37.518885	127.099281	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	좌표 불일치(150m+) — 위치 확인 필요
	일본라멘무메이		서울특별시 마포구 동교로27길 12, 103호 (동교동, 1층일부)				37.558930	126.922940	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야니쿠		서울특별시 송파구 올림픽로32길 29, 유성빌딩 2층 201호 (방이동)				37.513504	127.109996	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	멘야가와		서울특별시 양천구 목동중앙북로 86, 1층 (목동)				37.546292	126.872613	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	쇼부라멘 서소문점		서울특별시 중구 서소문로 95, 지하1층 (서소문동)				37.562849	126.971746	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	566라멘(566RAMEN)		서울특별시 마포구 연남로3길 33, 1층 (연남동)				37.560593	126.920887	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야하나비 합정점		서울특별시 마포구 잔다리로7안길 14, 1층 (서교동)				37.552528	126.916836	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	한끼는라멘&비빔밥		서울특별시 서초구 청계산로 217, 103-2호 (신원동)				37.446268	127.057327	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	장라멘		서울특별시 양천구 신월로 149, 1층 (신월동)				37.517567	126.840279	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘 키레이		서울특별시 마포구 동교로9길 23, 1층 102호 (망원동)				37.554922	126.910075	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	텐진라멘 가산디지털단지점		서울특별시 금천구 가산디지털1로 142, 가산 더스카이밸리 1차 1층 128호 (가산동)				37.478337	126.883247	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	와다라멘 이태원점		서울특별시 용산구 녹사평대로32길 9, 1층 (이태원동)				37.533686	126.989411	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	도조라멘		서울특별시 서대문구 응암로 72, 나동 1층 (북가좌동)				37.579293	126.911179	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야요시		서울특별시 마포구 광성로 31-1, 춘추가원 1층 (신수동)				37.549957	126.936585	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	라멘야누		서울특별시 마포구 동교로 262-3, 하늘드리움 지1층 (연남동)				37.562991	126.925498	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘에반하다 태평양물산점		서울특별시 구로구 디지털로31길 12, 태평양물산 지하1층  B106-4호 (구로동)				37.485137	126.895054	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘트럭 상수점		서울특별시 마포구 독막로14길 31 (상수동, 지하1층)				37.547483	126.922599	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303+상가I20303)	
	라멘야 시마		서울특별시 영등포구 63로 50, 63한화생명빌딩 B1층 F08호 (여의도동)				37.519833	126.940072	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	기린이라멘		서울특별시 서대문구 거북골로 53-18, 1층 좌측두번째호 (남가좌동)				37.578159	126.922894	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	오레노라멘송파		서울특별시 송파구 백제고분로45길 17-3, 102호 (송파동)				37.509556	127.109441	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	코코로라멘(kokororamen) 잠실점		서울특별시 송파구 백제고분로19길 17, 청암빌딩 1층 103호 (잠실동)				37.506456	127.086994	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	태양의 토마토라멘 대학로점		서울특별시 종로구 창경궁로34길 15, 1, 2층 (혜화동)				37.584383	127.001168	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	히카리라멘		서울특별시 동대문구 고산자로36길 3, 경동시장 신관 3층 70104호 (제기동)				37.579163	127.039313	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	멘야포모 강남구청점		서울특별시 강남구 학동로 421 (청담동,지상1층107호)				37.518493	127.046260	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	멘야츠바사		서울특별시 마포구 동교로38길 33-14, 1층 (연남동)				37.561760	126.926316	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	코이라멘 장충점		서울특별시 중구 동호로24길 27-3, 1층 (장충동2가)				37.560460	127.005245	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	탐라멘		서울특별시 강동구 상암로 28, 1층 105호 (암사동)				37.550307	127.126739	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘하카타분코		서울특별시 마포구 독막로19길 43 (상수동,1층)				37.548909	126.923760	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	존라멘		서울특별시 중구 퇴계로49길 35 (충무로5가, 1층)				37.562989	126.998998	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘트럭 건대점		서울특별시 광진구 광나루로22가길 18, 1층 102호 (화양동)				37.545717	127.075918	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	아타타카이 라멘		서울특별시 송파구 송파대로42길 26-1, 1층 101호 (송파동)				37.505954	127.110521	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘 보루도 서순라본점		서울특별시 종로구 서순라길 123-8, 1층 (권농동)				37.575598	126.991129	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	초이라멘		서울특별시 종로구 율곡로 290-2, 지상1층 (종로6가)				37.573700	127.011456	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303+상가I20303)	좌표 불일치(150m+) — 위치 확인 필요
	오레노 라멘안국		서울특별시 종로구 율곡로 49-4, 사비나미술관 1층 101호 (안국동)				37.576520	126.984570	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	혼다라멘		서울특별시 종로구 종로 266, 동대문종합시장  B동 6층 10호 (종로6가)				37.570802	127.006926	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	니지라멘		서울특별시 종로구 대학로1길 34, 지하1층 (연지동)				37.572002	127.000478	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	츠키라멘		서울특별시 종로구 종로 19, 르메이에르종로타운1 지하 1층 제B108-1-3호 (종로1가)				37.570852	126.979919	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	째즈&라멘		서울특별시 종로구 명륜3길 4 (명륜3가)				37.589021	126.994570	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야산다이메		서울특별시 종로구 창경궁로26길 38-2 (명륜4가,(지상1층))				37.581798	126.999724	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
